2024-11-18 14:29:56 [main] WARN  github.hacimertgokhan.Main - Welcome to DDB, create cache based database with '-use' or manage your ddb with '-man'
2024-11-18 14:29:58 [main] INFO  github.hacimertgokhan.Main - Server running on port 5142
2024-11-18 14:29:58 [main] INFO  github.hacimertgokhan.Main - Your main ddb token is EkmgdnjxnRxNEq42wab3jTF8vQn1dLnR4Tsu4gz09O6eb7ig0JdRJ8WPUhRPNxzAs0xZSx9njy2GE3BMNzGYOgnfGtuQixRRnej61zFBL9jmK2ZxbZqxp4GqtIMZafPy
2024-11-18 14:29:58 [main] INFO  github.hacimertgokhan.Main - ddb.json loading...
2024-11-18 14:29:58 [main] INFO  github.hacimertgokhan.Main - Waiting for client connection...
2024-11-18 14:30:02 [main] INFO  github.hacimertgokhan.Main - Client connected: /127.0.0.1
2024-11-18 14:30:02 [main] INFO  github.hacimertgokhan.Main - Waiting for client connection...
2024-11-18 14:30:02 [pool-2-thread-1] INFO  github.hacimertgokhan.Main - Token list is empty.
2024-11-18 14:30:02 [pool-2-thread-1] INFO  github.hacimertgokhan.Main - Connecting to DDB server...
2024-11-18 14:30:02 [pool-2-thread-1] INFO  github.hacimertgokhan.Main - [CLIENT ACTION] 127.0.0.1 action: AUTH jo7psfMlcdhd4GtnadzcNxDPcYLoafnuN3ot1pDlnidCUeN7c11uimwpw8JcmxHs9Qp6lWAaBwm03NkBesUyxW2lnvtyNbtnbFo3kHqJBvMrybrVMAxeT4VCJn3gbbPo
2024-11-18 14:30:03 [pool-2-thread-1] INFO  github.hacimertgokhan.Main - [CLIENT ACTION] 127.0.0.1 action: SET 1 [C9fxH6Va]
2024-11-18 14:30:03 [pool-2-thread-1] INFO  github.hacimertgokhan.Main - [CLIENT ACTION] 127.0.0.1 action: SET 5 [3jyDIJPY]
2024-11-18 14:30:03 [pool-2-thread-1] INFO  github.hacimertgokhan.Main - [CLIENT ACTION] 127.0.0.1 action: SET 4 [05H8G5ue]
2024-11-18 14:30:03 [pool-2-thread-1] INFO  github.hacimertgokhan.Main - [CLIENT ACTION] 127.0.0.1 action: SET 8 [YwSTLVNO]
2024-11-18 14:30:03 [pool-2-thread-1] INFO  github.hacimertgokhan.Main - [CLIENT ACTION] 127.0.0.1 action: SET 2 [JDdiXxux]
2024-11-18 14:30:03 [pool-2-thread-1] INFO  github.hacimertgokhan.Main - [CLIENT ACTION] 127.0.0.1 action: SET 13 [gdgIH2QD]
2024-11-18 14:30:03 [pool-2-thread-1] INFO  github.hacimertgokhan.Main - [CLIENT ACTION] 127.0.0.1 action: SET 6 [fgAu1hKm]
2024-11-18 14:30:03 [pool-2-thread-1] INFO  github.hacimertgokhan.Main - [CLIENT ACTION] 127.0.0.1 action: SET 7 [Ou1Etny2]
2024-11-18 14:30:03 [pool-2-thread-1] INFO  github.hacimertgokhan.Main - [CLIENT ACTION] 127.0.0.1 action: SET 3 [GtSxmKYu]
2024-11-18 14:30:03 [pool-2-thread-1] INFO  github.hacimertgokhan.Main - [CLIENT ACTION] 127.0.0.1 action: SET 19 [gwuyDRUE]
2024-11-18 14:30:03 [pool-2-thread-1] INFO  github.hacimertgokhan.Main - [CLIENT ACTION] 127.0.0.1 action: SET 9 [bG0TPGRI]
